,home_team,visitor_team,home_points,visitor_points,winner,favorite,spread,total,cover,over,date,age_diff,sos_diff,srs_diff,off_rtg_diff,def_rtg_diff,net_rtg_diff,pace_diff,fta_per_fga_pct_diff,fg3a_per_fga_pct_diff,ts_pct_diff,efg_pct_diff,tov_pct_diff,orb_pct_diff,ft_rate_diff,opp_efg_pct_diff,opp_tov_pct_diff,drb_pct_diff,opp_ft_rate_diff
53,sacramentokings,newyorkknicks,92,114,-22,NewYork,1,201.5,0,1,1231,-2.0,1.54,-7.34,-0.6,8.8,-9.4,1.5,-0.04,-0.06,-0.02,-0.02,-1.9,2.5,-0.03,0.03,-2.0,-3.2,-0.03
54,sanantoniospurs,utahjazz,104,89,15,SanAntonio,-14.0,195.5,1,0,1231,1.9,-0.19,6.36,4.1,-2.9,7.0,1.5,-0.04,0.1,0.04,0.05,-0.2,-5.1,-0.03,-0.0,-0.9,2.2,-0.08
55,goldenstatewarriors,philadelphia76ers,79,107,-28,Philadelphia,2,191,0,0,1231,0.4,1.27,-6.38,1.5,9.9,-8.4,2.6,0.01,0.07,0.03,0.03,2.4,-1.5,0.01,0.04,0.1,-6.1,0.04
56,clevelandcavaliers,newjerseynets,98,82,16,Cleveland,-2.5,186,1,0,101,-0.1,0.25,-0.97,-1.8,-0.7,-1.1,1.2,0.04,-0.04,-0.01,-0.01,0.0,1.1,0.01,-0.01,-0.6,1.5,-0.01
57,miamiheat,charlottebobcats,129,90,39,Miami,-14.0,197,1,1,101,3.8,-0.22,19.68,11.4,-10.2,21.6,0.1,0.03,0.03,0.07,0.07,0.6,3.0,0.03,-0.03,3.0,3.0,-0.01
58,orlandomagic,torontoraptors,102,96,6,Orlando,-12.0,185.5,0,1,101,1.8,0.03,4.13,4.2,-0.4,4.6,-0.3,0.02,0.14,0.01,0.03,-0.3,0.6,-0.02,0.01,0.1,0.1,-0.07
59,washingtonwizards,bostonceltics,86,94,-8,Boston,7,187,0,0,101,-5.1,-0.08,-7.4,0.0,8.0,-8.0,2.1,-0.0,0.0,-0.03,-0.02,-0.5,7.6,-0.02,0.04,-0.7,-1.5,0.01
60,minnesotatimberwolves,dallasmavericks,99,82,17,Dallas,2.5,201.5,1,0,101,-6.9,-0.46,-3.61,1.0,4.3,-3.3,1.9,0.06,-0.01,-0.0,-0.01,0.6,4.1,0.05,0.01,-1.7,-1.8,-0.02
61,chicagobulls,memphisgrizzlies,104,64,40,Chicago,-6.5,187.5,1,0,101,1.5,-1.18,5.0,3.4,-3.5,6.9,-1.7,-0.02,0.05,0.01,0.02,-0.4,2.8,-0.03,-0.04,-3.5,1.6,-0.05
62,denvernuggets,lalakers,99,90,9,Denver,-5.5,199,1,0,101,-3.1,-0.25,1.2,3.2,1.8,1.4,3.7,0.03,0.03,0.02,0.03,-0.1,-1.4,0.01,0.03,3.6,-0.5,0.03
